id	manufacturer	model_name	model_code	icao_type_code	engine_type	new_engine_type	aircraft_family	new_aircraft_family	aircraft_category
132	Cirrus	Cirrus SR 22	C22_SR22	SR22	PISTON	PISTON	FIXED_WING	ROBINSON_R22_FAMILY	A
283	Cirrus	Cirrus Vision SF50	SR5_SR50	SR50	TURBOPROP	TURBOPROP	FIXED_WING	FOKKER_50_FAMILY	B
140	Claudius	Claudius Dornier CD-2 Seastar	CD2_CD2S	CD2S	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
165	Convair	Convair CV-440 Metropolitan pax	CV4_CVLP	CVLP	JET	TURBOFAN	FIXED_WING	CONVAIR_FAMILY	C
166	Convair CV-240	Convair CV-240 / 440 / 580 / 600 / 640 pax	CVR_CVR	CVR	JET	TURBOFAN	FIXED_WING	CONVAIR_FAMILY	C
164	Cub	Cub Crafter X Cub	CUB_XCUB	XCUB	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
177	DA20	DA20 Katana	DA2_DA20	DA20	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
292	Daher	Daher TMB 930	TB9_TBM9	TBM9	TURBOPROP	TURBOPROP	FIXED_WING	TBM_FAMILY	B
186	Dassault	Dassault Falcon 50	DF3_FA50	FA50	TURBOPROP	TURBOPROP	FIXED_WING	FALCON_FAMILY	B
188	Dassault	Dassault Falcon M	DFL_FA50	FA50	TURBOPROP	TURBOPROP	FIXED_WING	FALCON_FAMILY	B
192	De	De Havilland Canada DHC-2 Beaver	DHP_DHC2	DHC2	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
191	De	De Havilland Canada DHC-3 Turbo Otter	DHL_DHC3	DHC3	TURBOPROP	TURBOPROP	FIXED_WING	DHC3_OTTER_FAMILY	B
193	De	De Havilland Canada DHC-6 Twin Otter	DHT_DHC6	DHC6	TURBOPROP	TURBOPROP	FIXED_WING	DHC6_TWIN_OTTER_FAMILY	B
189	De	De Havilland Canada DHC-8-300	DH3_DH8C	DH8C	TURBOPROP	TURBOPROP	FIXED_WING	DASH_8_FAMILY	B
190	De	De Havilland Canada DHC-8-400	DH4_DH8D	DH8D	TURBOPROP	TURBOPROP	FIXED_WING	DASH_8_FAMILY	B
4	De Havilland Canada	DHC-6 Twin Otter Series 400	DHC6_TWIN_OTTER_400	DHC6	TURBOPROP	TURBOPROP	DHC-6 Twin Otter	DHC6_TWIN_OTTER_FAMILY	TURBOPROP_STOL
179	Diamond	Diamond DA42 Twin Star	DA5_DA42	DA42	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
180	Diamond	Diamond DA62	DA6_DA62	DA62	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
195	Diamond	Diamond DV20	DV2_DV20	DV20	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
178	Diamond DA40 TDI	Diamond DA40 TDI/NG	DA4_DA40	DA40	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
182	Douglas	Douglas DC-4	DC4_DC4	DC4	JET	TURBOFAN	FIXED_WING	DC4_FAMILY	C
183	Douglas	Douglas DC-6	DC6_DC6	DC6	JET	TURBOFAN	FIXED_WING	DC6_FAMILY	C
184	Douglas	Douglas DC-7	DC7_DC7	DC7	JET	TURBOFAN	FIXED_WING	DC7_FAMILY	C
185	DOUGLAS	DOUGLAS DC-8-50	DC8_DC85	DC85	JET	TURBOFAN	FIXED_WING	DC8_FAMILY	C
172	Douglas	Douglas DC-9-10	D91_DC91	DC91	JET	TURBOFAN	FIXED_WING	DC9_FAMILY	D
173	Douglas	Douglas DC-9-20	D92_DC92	DC92	JET	TURBOFAN	FIXED_WING	DC9_FAMILY	D
174	Douglas	Douglas DC-9-30	D93_DC93	DC93	JET	TURBOFAN	FIXED_WING	DC9_FAMILY	D
175	Douglas	Douglas DC-9-40	D94_DC94	DC94	JET	TURBOFAN	FIXED_WING	DC9_FAMILY	D
176	Douglas	Douglas DC-9-50	D95_DC95	DC95	JET	TURBOFAN	FIXED_WING	DC9_FAMILY	D
167	Douglas	Douglas DC10 pax	D10_DC10	DC10	JET	TURBOFAN	FIXED_WING	DC10_FAMILY	D
181	Douglas	Douglas DC3 pax	DC3_DC3	DC3	JET	TURBOFAN	FIXED_WING	DC3_FAMILY	C
168	Douglas DC-10-30	Douglas DC-10-30 / 40 Freighters	D1Y_DC10	DC10	JET	TURBOFAN	FIXED_WING	DC10_FAMILY	D
204	Eclipse	Eclipse 550	EA5_EA50	EA50	TURBOPROP	TURBOPROP	FIXED_WING	ECLIPSE_500_FAMILY	B
8	Embraer	EMB 120ER Brasilia	EMB120ER_BRASILIA	E120	TURBOPROP	TURBOPROP	Embraer EMB 120	EMB120_FAMILY	TURBOPROP_REGIONAL
206	Embraer	Embraer 110	EM1_E110	E110	JET	TURBOFAN	FIXED_WING	EMB110_FAMILY	C
207	Embraer	Embraer 120	EM2_E120	E120	TURBOPROP	TURBOPROP	FIXED_WING	EMB120_FAMILY	B
200	Embraer	Embraer 170	E70_E170	E170	JET	TURBOFAN	FIXED_WING	E_JET_FAMILY	C
201	Embraer	Embraer 175	E75_E175	E175	JET	TURBOFAN	FIXED_WING	E_JET_FAMILY	C
202	Embraer	Embraer 190	E90_E190	E190	JET	TURBOFAN	FIXED_WING	E_JET_FAMILY	C
203	Embraer	Embraer 195	E95_E195	E195	JET	TURBOFAN	FIXED_WING	E_JET_FAMILY	C
208	Embraer	Embraer 500 - Phenom 100	EP1_E50P	E50P	TURBOPROP	TURBOPROP	FIXED_WING	EMB500_PHENOM_FAMILY	B
209	Embraer	Embraer 505 Phenom 300	EP3_E55P	E55P	TURBOPROP	TURBOPROP	FIXED_WING	EMB500_PHENOM_FAMILY	B
210	Embraer	Embraer RJ135	ER3_E135	E135	JET	TURBOFAN	FIXED_WING	ERJ_FAMILY	C
211	Embraer	Embraer RJ145 Amazon	ER4_E145	E145	JET	TURBOFAN	FIXED_WING	ERJ_FAMILY	C
197	Enstrom	Enstrom 280 (helicopter)	E28_EN28	EN28	TURBOSHAFT	TURBOSHAFT	HELICOPTER	ENSTROM_280_FAMILY	A
278	Eurocopter	Eurocopter AS350 (helicopter)	S50_AS50	AS50	TURBOSHAFT	TURBOSHAFT	HELICOPTER	H125_FAMILY	A
233	Eurocopter	Eurocopter BK117 (helicopter)	K17_BK17	BK17	TURBOSHAFT	TURBOSHAFT	HELICOPTER	BK117_FAMILY	A
196	Eurocopter	Eurocopter EC120 (helicopter)	E20_EC20	EC20	TURBOSHAFT	TURBOSHAFT	HELICOPTER	EC120_FAMILY	A
199	Eurocopter	Eurocopter EC135 (helicopter)	E35_EC35	EC35	TURBOSHAFT	TURBOSHAFT	HELICOPTER	H135_FAMILY	A
198	EXTRA	EXTRA 300, 330, 350	E30_E300	E300	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
218	Fairchild	Fairchild Dornier 328 jet	FRJ_J328	J328	TURBOPROP	TURBOPROP	FIXED_WING	DORNIER_328_FAMILY	B
170	Fairchild	Fairchild Dornier 328 prop	D38_D328	D328	TURBOPROP	TURBOPROP	FIXED_WING	DORNIER_328_FAMILY	B
187	Falcon	Falcon 7X (pax)	DF7_FA7X	FA7X	JET	TURBOFAN	FIXED_WING	FALCON_FAMILY	C
163	Flight	Flight Design CTSL	CTL_CTLS	CTLS	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
10	Fokker	Fokker 100	100_F100	F100	JET	TURBOFAN	FIXED_WING	FOKKER_100_FAMILY	C
213	Fokker	Fokker 27 Friendship	F27_F27	F27	TURBOPROP	TURBOPROP	FIXED_WING	FOKKER_F27_FAMILY	B
215	Fokker	Fokker 50	F50_F50	F50	TURBOPROP	TURBOPROP	FIXED_WING	FOKKER_50_FAMILY	B
216	Fokker	Fokker 70	F70_F70	F70	JET	TURBOFAN	FIXED_WING	FOKKER_70_FAMILY	C
214	Fokker	Fokker F.28 Fellowship	F28_F28	F28	JET	TURBOFAN	FIXED_WING	FOKKER_F28_FAMILY	C
219	FSR	FSR 500	FSR_FSR5	FSR5	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
240	Gates	Gates Learjet	LRJ_LRJ	LRJ	TURBOPROP	TURBOPROP	FIXED_WING	BAE_146_FAMILY	B
220	Goodyear	Goodyear GZ-20	G20_GZ20	GZ20	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
222	Grumman	Grumman C-2 Greyhound	GR2_GRC2	GRC2	JET	TURBOPROP	FIXED_WING	C2_GREYHOUND_FAMILY	C
223	Grumman	Grumman Goose - Amphibious	GRG_G21A	G21A	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
221	Guinbal	Guinbal Cabri G2 Elicopter	G2C_G2CA	G2CA	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
91	Gulfstream	Gulfstream/Rockwell Commander	ACP_AC68	AC68	PISTON	PISTON	FIXED_WING	GULFSTREAM_FAMILY	A
90	Gulfstream	Gulfstream/Rockwell Commander/Turbo Commander	ACD_ACD	ACD	TURBOPROP	TURBOPROP	FIXED_WING	GULFSTREAM_FAMILY	A
92	Gulfstream	Gulfstream/Rockwell Turbo Commander	ACT_AC90	AC90	TURBOPROP	TURBOPROP	FIXED_WING	GULFSTREAM_FAMILY	A
251	Hawker	Hawker Hurricane MK-1	MKI_HURI	HURI	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
227	Hawker	Hawker Sideley 748	HS7_A748	A748	JET	TURBOPROP	FIXED_WING	HS748_FAMILY	C
226	HondaHjet	HondaHjet HA.420	HHJ_HDJT	HDJT	TURBOPROP	TURBOPROP	FIXED_WING	HONDAJET_FAMILY	B
86	Icon	Icon A5	A5I_A5IC	A5IC	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
286	ICP	ICP Savannah	SVN_SVNH	SVNH	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
228	Iljushin	Iljushin IL-18	IL8_IL18	IL18	JET	TURBOFAN	FIXED_WING	IL18_FAMILY	C
229	Ilyushin	Ilyushin IL96 pax	IL9_IL96	IL96	JET	TURBOFAN	FIXED_WING	IL96_FAMILY	D
232	JETSTREAM	JETSTREAM BAe-4100 Jetstream 4	J41_JS41	JS41	JET	TURBOFAN	FIXED_WING	JETSTREAM_FAMILY	C
296	JMB	JMB Aircraft VL-3	VL3_VL3	VL3	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
217	Kitfox	Kitfox STi FreedomFox & Fox2	FOX_KFOX	KFOX	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
234	Kodiak	Kodiak 100	KOD_KODI	KODI	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
237	Lancair	Lancair Legacy	LNC_LNC2	LNC2	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
235	Lockheed	Lockheed L-1011 Tristar pax	L10_L101	L101	JET	TURBOFAN	FIXED_WING	L1011_FAMILY	C
236	Lockheed	Lockheed L-1049 Super Constellation	L49_CONI	CONI	JET	TURBOFAN	FIXED_WING	L1049_FAMILY	C
238	Lockheed	Lockheed L188 Electra	LOE_L188	L188	JET	TURBOFAN	FIXED_WING	L188_FAMILY	C
239	Lockheed	Lockheed Martin Hercules C130	LOH_C130	C130	JET	TURBOFAN	FIXED_WING	A220_FAMILY	C
41	Martin	Martin 404	404_M404	M404	JET	TURBOFAN	FIXED_WING	MARTIN_404_FAMILY	C
243	MAULE	MAULE 7-235, MT-7, MX-7-260	M72_MTX7	MTX7	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
244	MAULE	MAULE 7-420, MX-7-420, MXT-7	M74_MTX4	MTX4	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
241	McDonnel	McDonnel Douglas MD11 pax	M11_MD11	MD11	JET	TURBOFAN	FIXED_WING	MD11_FAMILY	D
245	McDonnel	McDonnel Douglas MD80	M80_MD80	MD80	JET	TURBOFAN	FIXED_WING	MD80_FAMILY	C
246	McDonnel	McDonnel Douglas MD81	M81_MD81	MD81	JET	TURBOFAN	FIXED_WING	MD80_FAMILY	C
247	McDonnel	McDonnel Douglas MD82	M82_MD82	MD82	JET	TURBOFAN	FIXED_WING	MD80_FAMILY	C
248	McDonnel	McDonnel Douglas MD83	M83_MD83	MD83	JET	TURBOFAN	FIXED_WING	MD80_FAMILY	C
249	McDonnel	McDonnel Douglas MD87	M87_MD87	MD87	JET	TURBOFAN	FIXED_WING	MD80_FAMILY	C
250	McDonnel	McDonnel Douglas MD88	M88_MD88	MD88	JET	TURBOFAN	FIXED_WING	MD80_FAMILY	C
253	Mitsubishi	Mitsubishi Marquise all models	MU2_MU2	MU2	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
